Date,Flow
2101-03-30,100.257151746
2101-03-31,75.1675932626
2101-04-01,62.126539016
2101-04-02,53.9573310684
2101-04-03,48.0894571631
2101-04-04,43.6729222287
2101-04-05,40.292844701
2101-04-06,37.6234586102
2101-04-07,54.2590053327
2101-04-08,71.1610655968
2101-04-09,60.4245165508
2101-04-10,46.0707003662
2101-04-11,39.5792831833
2101-04-12,36.2931082689
2101-04-13,33.7411226709
2101-04-14,31.5003200784
2101-04-15,29.6108462834
2101-04-16,27.9537707951
2101-04-17,26.4618884587
2101-04-18,25.0939237297
2101-04-19,23.8237183709
2101-04-20,22.6342419862
2101-04-21,21.5140861732
2101-04-22,20.4553538269
2101-04-23,19.6204978866
2101-04-24,19.1968705688
2101-04-25,19.0904723992
2101-04-26,18.8572470016
2101-04-27,18.1618564832
2101-04-28,17.263846819
2101-04-29,16.4203998302
2101-04-30,16.4973903242
2101-05-01,17.3530273538
2101-05-02,17.2601141395
2101-05-03,16.3849214857
2101-05-04,15.5811787765
2101-05-05,14.8214086977
2101-05-06,14.0994950058
2101-05-07,13.7631206384
2101-05-08,14.8464267341
2101-05-09,16.5084459873
2101-05-10,16.7854767386
2101-05-11,16.1672337825
2101-05-12,15.4752868816
2101-05-13,14.7162664949
2101-05-14,13.9986304091
2101-05-15,13.3168871473
2101-05-16,12.6686287065
2101-05-17,12.0520827206
2101-05-18,11.465662392
2101-05-19,10.9078830347
2101-05-20,10.3773400886
2101-05-21,9.87270036681
2101-05-22,9.39269692895
2101-05-23,8.93612521009
2101-05-24,8.50183970367
2101-05-25,8.52390234605
2101-05-26,8.95282585108
2101-05-27,9.28261379404
2101-05-28,9.85744340577
2101-05-29,10.4129916368
2101-05-30,10.4604796095
2101-05-31,11.023311214
2101-06-01,12.6480388658
2101-06-02,13.8265599847
2101-06-03,14.308869165
2101-06-04,14.8372193434
2101-06-05,14.6805796407
2101-06-06,13.9417925567
2101-06-07,13.2587680852
2101-06-08,12.6126154239
2101-06-09,11.9986139757
2101-06-10,11.4147390002
2101-06-11,11.5493112721
2101-06-12,14.0335127456
2101-06-13,17.2368577195
2101-06-14,17.8637174057
2101-06-15,16.9192134093
2101-06-16,16.2769497275
2101-06-17,16.041179039
2101-06-18,15.8993165902
2101-06-19,15.937900732
2101-06-20,16.2517413669
2101-06-21,16.1370179463
2101-06-22,15.7477753604
2101-06-23,15.5000909682
2101-06-24,14.984337137
2101-06-25,14.2446056389
2101-06-26,13.5491664154
2101-06-27,12.8892118715
2101-06-28,12.2617942456
2101-06-29,11.6650983578
2101-06-30,11.423116704
2101-07-01,11.8299866263
2101-07-02,12.9142966832
2101-07-03,13.944615999
2101-07-04,15.2525854636
2101-07-05,18.0998444182
2101-07-06,20.6567743136
2101-07-07,21.1120337932
2101-07-08,20.3256363302
2101-07-09,19.587863725
2101-07-10,28.7674525776
2101-07-11,36.3680422136
2101-07-12,39.2675636167
2101-07-13,40.5684665943
2101-07-14,35.9128085285
2101-07-15,32.7593576217
2101-07-16,49.5113944992
2101-07-17,61.9909085994
2101-07-18,43.7663990124
2101-07-19,29.477458519
2101-07-20,26.394902721
2101-07-21,48.4476183061
2101-07-22,65.9991207679
2101-07-23,51.886635206
2101-07-24,42.4176331397
2101-07-25,38.6631979137
2101-07-26,33.5026393031
2101-07-27,30.4434034067
2101-07-28,28.7664525756
2101-07-29,27.3384400228
2101-07-30,26.0023079576
2101-07-31,24.7342099452
2101-08-01,24.9436975914
2101-08-02,26.700799103
2101-08-03,29.9609855849
2101-08-04,31.6914328548
2101-08-05,29.8477698631
2101-08-06,28.4255024709
2101-08-07,27.787062397
2101-08-08,29.0498960712
2101-08-09,30.1754677613
2101-08-10,27.9405490246
2101-08-11,25.5372081271
2101-08-12,24.1516159829
2101-08-13,23.0915848254
2101-08-14,22.3650111303
2101-08-15,23.5941990255
2101-08-16,25.2755980323
